sci_name,REVISED_ALTERNATE_COM_NAME
Nothoprocta sp.,Nothoprocta tinamou sp.
Tinamus sp.,Tinamus tinamou sp.
Crypturellus sp.,Crypturellus tinamou sp.
Anser sp.,Anser goose sp.
Branta sp.,Branta goose sp.
Sarkidiornis melanotos,Knob-billed Duck (Comb Duck)
Sarkidiornis sylvicola,American Comb Duck
Chloephaga sp.,Chloephaga goose sp.
Tadorna ferruginea,Ruddy Shelduck (Brahminy Duck)
Nettapus coromandelianus,Cotton Pygmy-Goose (Cotton Teal)
Anas crecca,Green-winged Teal (Common Teal)
Anas crecca carolinensis,Green-winged Teal (Common Teal) [American]
Anas gibberifrons,Indonesian Teal
Anas sp.,Anas duck sp.
Marmaronetta angustirostris,Marbled Duck (Marbled Teal)
Aythya nyroca,Ferruginous Duck (Ferruginous Pochard)
Aythya sp.,Aythya duck sp.
Talegalla sp.,Talegalla brushturkey sp.
Penelope sp.,Penelope guan sp.
Cracidae sp.,Cracidae sp.
Arborophila/Tropicoperdix sp.,Arborophila partridge sp.
Alectoris chukar,Chukar Partridge
Columba livia,Rock Pigeon (Blue Rock Pigeon)
Columba sp.,Columba pigeon sp.
Patagioenas sp.,Patagioenas pigeon sp.
Streptopelia tranquebarica,Red Collared-Dove (Red Turtle-Dove)
Streptopelia sp.,Streptopelia dove sp.
Spilopelia senegalensis,Laughing Dove (Little Brown Dove)
Macropygia sp.,Cuckoo-dove sp.
Turtur sp.,Turtur wood-dove sp.
Leptotila sp.,Leptotila dove sp.
Treron affinis,Grey-fronted Green-Pigeon (Pompadour Green-Pigeon)
Chlamydotis macqueenii,Macqueen's Bustard (Houbara Bustard)
Tauraco sp.,Tauraco turaco sp.
Clamator jacobinus,Pied Cuckoo (Jacobin Cuckoo)
Coccyzus sp.,Coccyzus cuckoo sp.
Chrysococcyx/Chalcites sp.,Chrysococcyx/Chalcites cuckoo sp.
Cacomantis sp.,Cacomantis cuckoo sp.
Cercococcyx sp.,Cercococcyx cuckoo sp.
Cuculus sp.,Cuculus cuckoo sp.
Hydropsalis sp.,Hydropsalis nightjar sp.
Antrostomus sp.,Antrostomus new world nightjar sp.
Caprimulgus indicus,Jungle Nightjar (Indian Jungle Nightjar)
Caprimulgus jotaka,Grey Nightjar (Eastern Jungle Nightjar)
Caprimulgus europaeus,Eurasian Nightjar (European Nightjar)
Caprimulgus sp.,Caprimulgus old world nightjar sp.
Batrachostomus sp.,Batrachostomus frogmouth sp.
Cypseloides sp.,Cypseloides swift sp.
Streptoprocne sp.,Streptoprocne swift sp.
Zoonavena sylvatica,White-rumped Spinetail (White-rumped Needletail)
Chaetura sp.,Chaetura swift sp.
Hirundapus sp.,Hirundapus needletail sp.
Collocalia affinis,Plume-toed Swift (Andaman Glossy Swiftlet)
Aerodramus fuciphagus,Edible-nest Swiftlet
Aerodramus fuciphagus germani/amechanus,Edible-nest Swiftlet (Germain's)
Aerodramus fuciphagus [fuciphagus Group],Edible-nest Swiftlet (White-nest)
Apus leuconyx,Blyth's Swift (Fork-tailed Swift)
Apus affinis,Little Swift (Indian House Swift)
Apus nipalensis,House Swift (Nepal House Swift)
Apus/Tachymarptis sp.,Apus/Tachymarptis swift sp.
Oreotrochilus sp.,Oreotrochilus hillstar sp.
Chaetocercus sp.,Chaetocercus woodstar sp.
Selasphorus sp.,Selasphorus hummingbird sp.
Riccordia/Cynanthus/Chlorostilbon sp.,Chlorostilbon emerald sp.
Chrysuronia goudoti/coeruleogularis/lilliae,Shining-green/Sapphire-throated/Sapphire-bellied Hummingbird
Rallus sp.,Rallus rail sp.
Porphyrio poliocephalus,Grey-headed Swamphen (Purple Swamphen)
Rallina sp.,Rallina rail/crake sp.
Zapornia sp.,Zapornia rail/crake sp.
Porzana/Zapornia sp.,Porzana/Zapornia/Hapalocrex rail/crake sp.
Esacus recurvirostris,Great Thick-knee (Great Stone-curlew)
Esacus magnirostris,Beach Thick-knee (Beach Stone-curlew)
Burhinus oedicnemus,Eurasian Thick-knee (Eurasian Stone-curlew)
Burhinus indicus,Indian Thick-knee (Indian Stone-curlew)
Burhinus sp.,stone-curlew/thick-kneee sp.
Pluvialis squatarola,Black-bellied Plover (Grey Plover)
Charadrius/Thinornis sp.,Charadrius/Thinornis plover sp.
Anarhynchus atrifrons,Tibetan Sand-Plover (Lesser Sand-Plover)
Tringa sp.,Tringa sandpiper sp.
Calidris sp. (peep sp.),Stint sp. (Calidris sp.)
Calidris sp.,Calidris stint/sandpiper sp.
Stercorarius parasiticus,Parasitic Jaeger (Arctic Skua)
Stercorarius pomarinus,Pomarine Jaeger (Pomarine Skua)
Larus sp.,Larus gull sp.
Sternula sp.,Sternula tern sp.
Chlidonias sp.,Chlidonias tern sp.
Sterna sp.,Sterna tern sp.
Thalasseus sp.,Thalasseus tern sp.
Laridae sp.,gull/tern/skimmer sp.
Podiceps auritus,Horned Grebe (Slavonian Grebe)
Podiceps nigricollis,Eared Grebe (Black-necked Grebe)
Podiceps sp.,Podiceps grebe sp.
Oceanites sp.,Oceanites storm-petrel sp.
Hydrobates sp. (Band-rumped complex),Oceanodroma storm-petrel sp. (Band-rumped complex)
Hydrobates sp.,Oceanodroma storm-petrel sp.
Pterodroma sp.,Pterodroma petrel sp.
Pseudobulweria sp.,Pseudobulweria petrel sp.
Procellaria sp.,Procellaria petrel sp.
Procellariidae sp.,procellariid sp.
Ciconia sp.,Ciconia stork sp.
Phalacrocorax fuscicollis,Indian Cormorant (Indian Shag)
Pseudibis papillosa,Red-naped Ibis (Indian Black Ibis)
Egretta sacra,Pacific Reef-Heron (Pacific Reef-Egret)
Egretta gularis,Western Reef-Heron (Western Reef-Egret)
Butorides striata,South American Striated Heron
Butorides striata x sundevalli,South American Striated Heron x Lava Heron (hybrid)
Butorides striata/sundevalli,South American Striated Heron/Lava Heron
Butorides atricapilla,Striated Heron (Little Heron)
Butorides atricapilla [atricapilla Group],Striated Heron (Little Heron) [African]
Butorides atricapilla crawfordi/degens,Striated Heron (Little Heron) [Seychelles]
Butorides atricapilla brevipes,Striated Heron (Little Heron) [Red Sea]
Butorides atricapilla [javanica Group],Striated Heron (Little Heron) [Asian]
Butorides atricapilla [stagnatilis Group],Striated Heron (Little Heron) [Australasian]
Butorides atricapilla patruelis,Striated Heron (Little Heron) [Tahiti]
Butorides virescens,North American Green Heron
Butorides virescens virescens/bahamensis,North American Green Heron (virescens/bahamensis)
Butorides virescens anthonyi,North American Green Heron (anthonyi)
Butorides virescens frazari,North American Green Heron (frazari)
Butorides striata x virescens,South American Striated x North American Green Heron (hybrid)
Butorides striata/virescens,South American Striated/South American Striated Heron
Ardea intermedia,Medium Egret (Intermediate Egret)
Ardea sp.,Ardea heron sp.
